apk_name,package_name,label,risk_score_prediction,targets_old_sdk,boot_persistence,user_persistence,suspicious_libraries,num_suspicious_urls,num_total_permissions,num_suspicious_permissions,perm_CAMERA,perm_RECORD_AUDIO,perm_WAKE_LOCK,perm_SYSTEM_ALERT_WINDOW,perm_BLUETOOTH_ADMIN,perm_WRITE_SETTINGS,perm_WRITE_SECURE_SETTINGS,perm_ACCESS_COARSE_LOCATION,perm_ACCESS_FINE_LOCATION,perm_ACCESS_BACKGROUND_LOCATION,perm_FOREGROUND_SERVICE_LOCATION,perm_ACTIVITY_RECOGNITION,perm_ACTIVITY_RECOGNITION,perm_ACCESS_WIFI_STATE,perm_ACCESS_NETWORK_STATE,perm_CHANGE_WIFI_STATE,perm_FOREGROUND_SERVICE_MICROPHONE,perm_FOREGROUND_SERVICE_CAMERA,perm_ACCESS_NOTIFICATION_POLICY,perm_RECEIVE_BOOT_COMPLETED,perm_REQUEST_IGNORE_BATTERY_OPTIMIZATIONS,perm_REQUEST_DELETE_PACKAGES
com.waze_5.17.1.0-1030685_2arch_96244eee2ff474004d6aac56c71302af_apkmirror.com_base.apk,com.waze,0,,0,0,0,0,132998,42,11,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0
cz.seznam.mapy_26.2.1-26220100_1arch_1dpi_24lang_dc3787e0ff53d2b7cfa020cbbc57c372_apkmirror.com_base.apk,cz.seznam.mapy,0,,0,0,0,0,64082,18,7,0,0,1,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0
com.google.android.carassistant_13.1.476.RC01.tng.release.auto-800961405_minAPI29(arm64-v8a)(nodpi)_apkmirror.com.apk,com.google.android.carassistant,0,,0,0,0,1,146365,129,12,0,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0
"com.qustodio.qustodioapp_180.79.0.2-family-1807900_minAPI28(arm64-v8a,armeabi-v7a,x86,x86_64)(nodpi)_apkmirror.com.apk",com.qustodio.qustodioapp,1,,0,0,0,1,96358,28,8,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0
com.google.android.apps.translate_10.8.48.881318520.3-release-700563762_minAPI26(arm64-v8a)(nodpi)_apkmirror.com.apk,com.google.android.apps.translate,0,,0,0,0,1,146961,18,7,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0
"ws.coverme.im_2.8.78-2008078_minAPI21(arm64-v8a,armeabi-v7a)(nodpi)_apkmirror.com.apk",ws.coverme.im,0,,0,0,0,1,22280,36,8,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0
com.cliffweitzman.speechify2_5.39.6727-5396727_4arch_7dpi_24lang_f1db4977a789d3d4ae22466eb48525ee_apkmirror.com_base.apk,com.cliffweitzman.speechify2,0,,0,0,0,0,258450,29,6,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
com.frankygoes.myapks_4.2-29_minAPI9(nodpi)_apkmirror.com.apk,com.frankygoes.myapks,0,,1,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.zhiliao.musically.livewallpaper_35.4-354_7dpi_25lang_8feat_527f8fec6b7425ef29f34d36f07f4a31_apkmirror.com_base.apk,com.zhiliao.musically.livewallpaper,0,,0,0,0,0,106,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
org.telegram.messenger_12.5.1-65802_4arch_7dpi_24lang_d94323c6828d37add1d449e4cff69e2f_apkmirror.com_base.apk,org.telegram.messenger,0,,0,0,0,0,1011348,71,13,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,1,1,0,1,0,0
com.lsdroid.cerberus.kids_1.2.9-331290_minAPI22(nodpi)_apkmirror.com.apk,com.lsdroid.cerberus.kids,1,,0,0,0,0,3606,17,7,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0
"com.samsung.android.spay_6.4.42-644200222_minAPI30(arm64-v8a,armeabi)(nodpi)_apkmirror.com.apk",com.samsung.android.spay,0,,0,0,0,1,342721,237,13,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0
"gg.gamerlink.gamerlink_5.0.31-6000122_minAPI21(arm64-v8a,armeabi,armeabi-v7a,x86,x86_64)(nodpi)_apkmirror.com.apk",gg.gamerlink.gamerlink,0,,0,0,0,1,22695,39,6,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
com.hammersecurity_25.6.31-419_4arch_7dpi_24lang_02f1b364307e16f23c8d8a6db142de57_apkmirror.com_base.apk,com.hammersecurity,1,,0,0,0,0,131270,43,15,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1
com.google.android.apps.kids.familylinkhelper_1.135.0.2025w42.819242325.trampoline-1017177_minAPI23(nodpi)_apkmirror.com.apk,com.google.android.apps.kids.familylinkhelper,1,,0,0,0,0,1709,8,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
com.google.android.gms_26.09.31_(040300-877989800)-260931000_1dpi_24lang_20fdbaf8b5577e1afe557f31db12ad2b_apkmirror.com_base.apk,com.google.android.gms,1,,0,0,0,1,222891,354,18,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1
com.jrustonapps.myearthquakealerts_26.1.3-331_4arch_7dpi_24lang_0775274ef22bc1312108a6a81a2e656b_apkmirror.com_base.apk,com.jrustonapps.myearthquakealerts,0,,0,0,0,0,18081,19,7,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0
ai.x.grok_1.1.40-release.02-11140002_4arch_7dpi_25lang_99e30c82a9c550615fa291cbf31aebfb_apkmirror.com_base.apk,ai.x.grok,0,,0,0,0,0,34567,37,9,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0
"com.overdrive.mobile.android.libby_9.2.0-920000_minAPI25(arm64-v8a,armeabi-v7a,x86,x86_64)(nodpi)_apkmirror.com.apk",com.overdrive.mobile.android.libby,0,,0,0,0,1,6164,16,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
